Hisse,Strateji,Sinyal,Getiri (%),Max Kayip (%),Sharpe,Calmar,Kar Faktoru,Islem Sayisi
GS,single_ma,0,0.0,-0.0,inf,,,0
GS,two_ma,0,0.0,-0.0,inf,,,0
GS,three_ma,0,0.0,-0.0,inf,,,0
GS,channel,0,0.0,-0.0,inf,,,0
GS,support_resistance,0,0.0,-0.0,inf,,,0
GS,price_momentum,0,0.0,-0.0,inf,,,0
GS,low_volatility,0,0.0,-0.0,inf,,,0
GS,value,0,0.0,-0.0,inf,,,0
GS,implied_volatility,0,0.0,-0.0,inf,,,0
GS,earnings_momentum,0,0.0,-0.0,inf,,,0
GS,residual_momentum,0,0.0,-0.0,inf,,,0
GS,multifactor,0,0.0,-0.0,inf,,,0
GS,weighted_regression,0,0.0,-0.0,inf,,,0
GS,mean_reversion_cluster,0,0.0,-0.0,inf,,,0
GS,pairs_trading,0,0.0,-0.0,inf,,,0
GS,stat_arb,0,0.0,-0.0,inf,,,0
GS,market_making,0,0.0,-0.0,inf,,,0
GS,event_driven,0,0.0,-0.0,inf,,,0
GS,knn,0,0.0,-0.0,inf,,,0
GS,alpha_combos,0,0.0,-0.0,inf,,,0
GS,sector_momentum,0,0.0,-0.0,inf,,,0
GS,alpha_rotation,0,0.0,-0.0,inf,,,0
GS,r_squared,0,0.0,-0.0,inf,,,0
GS,mean_reversion_ibs,0,0.0,-0.0,inf,,,0
GS,leveraged_etfs,0,0.0,-0.0,inf,,,0
GS,multi_asset_trend,0,0.0,-0.0,inf,,,0
GS,volatility_carry,0,0.0,-0.0,inf,,,0
GS,vix_futures_basis,0,0.0,-0.0,inf,,,0
GS,variance_swaps,0,0.0,-0.0,inf,,,0
GS,fx_moving_averages,0,0.0,-0.0,inf,,,0
GS,fx_carry_trade,0,0.0,-0.0,inf,,,0
GS,fx_triangular_arb,0,0.0,-0.0,inf,,,0
GS,roll_yields,0,0.0,-0.0,inf,,,0
GS,hedging_pressure,0,0.0,-0.0,inf,,,0
GS,trend_following,0,0.0,-0.0,inf,,,0
GS,contrarian,0,0.0,-0.0,inf,,,0
GS,hedging_with_futures,0,0.0,-0.0,inf,,,0
GS,ann_crypto,0,0.0,-0.0,inf,,,0
GS,sentiment_crypto,0,0.0,-0.0,inf,,,0
GS,carry_factor,0,0.0,-0.0,inf,,,0
GS,bullets,0,0.0,-0.0,inf,,,0
GS,barbells,0,0.0,-0.0,inf,,,0
GS,ladders,0,0.0,-0.0,inf,,,0
GS,bond_immunization,0,0.0,-0.0,inf,,,0
GS,dollar_duration_butterfly,0,0.0,-0.0,inf,,,0
GS,fifty_fifty_butterfly,0,0.0,-0.0,inf,,,0
GS,regression_butterfly,0,0.0,-0.0,inf,,,0
GS,low_risk_factor,0,0.0,-0.0,inf,,,0
GS,value_factor,0,0.0,-0.0,inf,,,0
GS,rolling_down_yield_curve,0,0.0,-0.0,inf,,,0
GS,yield_curve_spreads,0,0.0,-0.0,inf,,,0
GS,cds_basis_arbitrage,0,0.0,-0.0,inf,,,0
GS,swap_spread_arbitrage,0,0.0,-0.0,inf,,,0
GS,cash_and_carry,0,0.0,-0.0,inf,,,0
GS,intraday_index_arb,0,0.0,-0.0,inf,,,0
GS,volatility_targeting,0,0.0,-0.0,inf,,,0
GS,fundamental_macro,0,0.0,-0.0,inf,,,0
GS,economic_announcements,0,0.0,-0.0,inf,,,0
GS,inflation_swaps,0,0.0,-0.0,inf,,,0
GS,weather_risk,0,0.0,-0.0,inf,,,0
GS,distressed_debt,0,0.0,-0.0,inf,,,0
GS,distress_risk_puzzle,0,0.0,-0.0,inf,,,0
GS,real_estate_diversity,0,0.0,-0.0,inf,,,0
GS,fix_and_flip,0,0.0,-0.0,inf,,,0
GS,cdo_tranche,0,0.0,-0.0,inf,,,0
GS,mbs,0,0.0,-0.0,inf,,,0
GS,convertible_arbitrage,0,0.0,-0.0,inf,,,0
GS,muni_arbitrage,0,0.0,-0.0,inf,,,0
