Hisse,Strateji,Sinyal,Getiri (%),Max Kayip (%),Sharpe,Calmar,Kar Faktoru,Islem Sayisi
KO,single_ma,0,0.0,-0.0,inf,,,0
KO,two_ma,0,0.0,-0.0,inf,,,0
KO,three_ma,0,0.0,-0.0,inf,,,0
KO,channel,0,0.0,-0.0,inf,,,0
KO,support_resistance,0,0.0,-0.0,inf,,,0
KO,price_momentum,0,0.0,-0.0,inf,,,0
KO,low_volatility,0,0.0,-0.0,inf,,,0
KO,value,0,0.0,-0.0,inf,,,0
KO,implied_volatility,0,0.0,-0.0,inf,,,0
KO,earnings_momentum,0,0.0,-0.0,inf,,,0
KO,residual_momentum,0,0.0,-0.0,inf,,,0
KO,multifactor,0,0.0,-0.0,inf,,,0
KO,weighted_regression,0,0.0,-0.0,inf,,,0
KO,mean_reversion_cluster,0,0.0,-0.0,inf,,,0
KO,pairs_trading,0,0.0,-0.0,inf,,,0
KO,stat_arb,0,0.0,-0.0,inf,,,0
KO,market_making,0,0.0,-0.0,inf,,,0
KO,event_driven,0,0.0,-0.0,inf,,,0
KO,knn,0,0.0,-0.0,inf,,,0
KO,alpha_combos,0,0.0,-0.0,inf,,,0
KO,sector_momentum,0,0.0,-0.0,inf,,,0
KO,alpha_rotation,0,0.0,-0.0,inf,,,0
KO,r_squared,0,0.0,-0.0,inf,,,0
KO,mean_reversion_ibs,0,0.0,-0.0,inf,,,0
KO,leveraged_etfs,0,0.0,-0.0,inf,,,0
KO,multi_asset_trend,0,0.0,-0.0,inf,,,0
KO,volatility_carry,0,0.0,-0.0,inf,,,0
KO,vix_futures_basis,0,0.0,-0.0,inf,,,0
KO,variance_swaps,0,0.0,-0.0,inf,,,0
KO,fx_moving_averages,0,0.0,-0.0,inf,,,0
KO,fx_carry_trade,0,0.0,-0.0,inf,,,0
KO,fx_triangular_arb,0,0.0,-0.0,inf,,,0
KO,roll_yields,0,0.0,-0.0,inf,,,0
KO,hedging_pressure,0,0.0,-0.0,inf,,,0
KO,trend_following,0,0.0,-0.0,inf,,,0
KO,contrarian,0,0.0,-0.0,inf,,,0
KO,hedging_with_futures,0,0.0,-0.0,inf,,,0
KO,ann_crypto,0,0.0,-0.0,inf,,,0
KO,sentiment_crypto,0,0.0,-0.0,inf,,,0
KO,carry_factor,0,0.0,-0.0,inf,,,0
KO,bullets,0,0.0,-0.0,inf,,,0
KO,barbells,0,0.0,-0.0,inf,,,0
KO,ladders,0,0.0,-0.0,inf,,,0
KO,bond_immunization,0,0.0,-0.0,inf,,,0
KO,dollar_duration_butterfly,0,0.0,-0.0,inf,,,0
KO,fifty_fifty_butterfly,0,0.0,-0.0,inf,,,0
KO,regression_butterfly,0,0.0,-0.0,inf,,,0
KO,low_risk_factor,0,0.0,-0.0,inf,,,0
KO,value_factor,0,0.0,-0.0,inf,,,0
KO,rolling_down_yield_curve,0,0.0,-0.0,inf,,,0
KO,yield_curve_spreads,0,0.0,-0.0,inf,,,0
KO,cds_basis_arbitrage,0,0.0,-0.0,inf,,,0
KO,swap_spread_arbitrage,0,0.0,-0.0,inf,,,0
KO,cash_and_carry,0,0.0,-0.0,inf,,,0
KO,intraday_index_arb,0,0.0,-0.0,inf,,,0
KO,volatility_targeting,0,0.0,-0.0,inf,,,0
KO,fundamental_macro,0,0.0,-0.0,inf,,,0
KO,economic_announcements,0,0.0,-0.0,inf,,,0
KO,inflation_swaps,0,0.0,-0.0,inf,,,0
KO,weather_risk,0,0.0,-0.0,inf,,,0
KO,distressed_debt,0,0.0,-0.0,inf,,,0
KO,distress_risk_puzzle,0,0.0,-0.0,inf,,,0
KO,real_estate_diversity,0,0.0,-0.0,inf,,,0
KO,fix_and_flip,0,0.0,-0.0,inf,,,0
KO,cdo_tranche,0,0.0,-0.0,inf,,,0
KO,mbs,0,0.0,-0.0,inf,,,0
KO,convertible_arbitrage,0,0.0,-0.0,inf,,,0
KO,muni_arbitrage,0,0.0,-0.0,inf,,,0
