Hisse,Strateji,Sinyal,Getiri (%),Max Kayip (%),Sharpe,Calmar,Kar Faktoru,Islem Sayisi
PG,single_ma,0,0.0,-0.0,inf,,,0
PG,two_ma,0,0.0,-0.0,inf,,,0
PG,three_ma,0,0.0,-0.0,inf,,,0
PG,channel,0,0.0,-0.0,inf,,,0
PG,support_resistance,0,0.0,-0.0,inf,,,0
PG,price_momentum,0,0.0,-0.0,inf,,,0
PG,low_volatility,0,0.0,-0.0,inf,,,0
PG,value,0,0.0,-0.0,inf,,,0
PG,implied_volatility,0,0.0,-0.0,inf,,,0
PG,earnings_momentum,0,0.0,-0.0,inf,,,0
PG,residual_momentum,0,0.0,-0.0,inf,,,0
PG,multifactor,0,0.0,-0.0,inf,,,0
PG,weighted_regression,0,0.0,-0.0,inf,,,0
PG,mean_reversion_cluster,0,0.0,-0.0,inf,,,0
PG,pairs_trading,0,0.0,-0.0,inf,,,0
PG,stat_arb,0,0.0,-0.0,inf,,,0
PG,market_making,0,0.0,-0.0,inf,,,0
PG,event_driven,0,0.0,-0.0,inf,,,0
PG,knn,0,0.0,-0.0,inf,,,0
PG,alpha_combos,0,0.0,-0.0,inf,,,0
PG,sector_momentum,0,0.0,-0.0,inf,,,0
PG,alpha_rotation,0,0.0,-0.0,inf,,,0
PG,r_squared,0,0.0,-0.0,inf,,,0
PG,mean_reversion_ibs,0,0.0,-0.0,inf,,,0
PG,leveraged_etfs,0,0.0,-0.0,inf,,,0
PG,multi_asset_trend,0,0.0,-0.0,inf,,,0
PG,volatility_carry,0,0.0,-0.0,inf,,,0
PG,vix_futures_basis,0,0.0,-0.0,inf,,,0
PG,variance_swaps,0,0.0,-0.0,inf,,,0
PG,fx_moving_averages,0,0.0,-0.0,inf,,,0
PG,fx_carry_trade,0,0.0,-0.0,inf,,,0
PG,fx_triangular_arb,0,0.0,-0.0,inf,,,0
PG,roll_yields,0,0.0,-0.0,inf,,,0
PG,hedging_pressure,0,0.0,-0.0,inf,,,0
PG,trend_following,0,0.0,-0.0,inf,,,0
PG,contrarian,0,0.0,-0.0,inf,,,0
PG,hedging_with_futures,0,0.0,-0.0,inf,,,0
PG,ann_crypto,0,0.0,-0.0,inf,,,0
PG,sentiment_crypto,0,0.0,-0.0,inf,,,0
PG,carry_factor,0,0.0,-0.0,inf,,,0
PG,bullets,0,0.0,-0.0,inf,,,0
PG,barbells,0,0.0,-0.0,inf,,,0
PG,ladders,0,0.0,-0.0,inf,,,0
PG,bond_immunization,0,0.0,-0.0,inf,,,0
PG,dollar_duration_butterfly,0,0.0,-0.0,inf,,,0
PG,fifty_fifty_butterfly,0,0.0,-0.0,inf,,,0
PG,regression_butterfly,0,0.0,-0.0,inf,,,0
PG,low_risk_factor,0,0.0,-0.0,inf,,,0
PG,value_factor,0,0.0,-0.0,inf,,,0
PG,rolling_down_yield_curve,0,0.0,-0.0,inf,,,0
PG,yield_curve_spreads,0,0.0,-0.0,inf,,,0
PG,cds_basis_arbitrage,0,0.0,-0.0,inf,,,0
PG,swap_spread_arbitrage,0,0.0,-0.0,inf,,,0
PG,cash_and_carry,0,0.0,-0.0,inf,,,0
PG,intraday_index_arb,0,0.0,-0.0,inf,,,0
PG,volatility_targeting,0,0.0,-0.0,inf,,,0
PG,fundamental_macro,0,0.0,-0.0,inf,,,0
PG,economic_announcements,0,0.0,-0.0,inf,,,0
PG,inflation_swaps,0,0.0,-0.0,inf,,,0
PG,weather_risk,0,0.0,-0.0,inf,,,0
PG,distressed_debt,0,0.0,-0.0,inf,,,0
PG,distress_risk_puzzle,0,0.0,-0.0,inf,,,0
PG,real_estate_diversity,0,0.0,-0.0,inf,,,0
PG,fix_and_flip,0,0.0,-0.0,inf,,,0
PG,cdo_tranche,0,0.0,-0.0,inf,,,0
PG,mbs,0,0.0,-0.0,inf,,,0
PG,convertible_arbitrage,0,0.0,-0.0,inf,,,0
PG,muni_arbitrage,0,0.0,-0.0,inf,,,0
