,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,8575.38433465782
Total Return [%],-14.246156653421805
Benchmark Return [%],-18.72915698301474
Max Gross Exposure [%],100.0
Total Fees Paid,97.69766454999593
Max Drawdown [%],36.287001857529376
Max Drawdown Duration,482 days 00:00:00
Total Trades,6
Total Closed Trades,6
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],33.33333333333333
Best Trade [%],12.173298566504164
Worst Trade [%],-10.759141306978908
Avg Winning Trade [%],8.22069721823412
Avg Losing Trade [%],-7.410052181189015
Avg Winning Trade Duration,17 days 12:00:00
Avg Losing Trade Duration,50 days 12:00:00
Profit Factor,0.46585002796676095
Expectancy,-237.43594422369685
Sharpe Ratio,-0.14654838037114776
Calmar Ratio,-0.2908206744438071
Omega Ratio,0.9705234071010886
Sortino Ratio,-0.21646594544472922
