,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,9486.59073718186
Total Return [%],-5.134092628181406
Benchmark Return [%],-18.72915698301474
Max Gross Exposure [%],100.0
Total Fees Paid,248.8102356757548
Max Drawdown [%],37.25499826849632
Max Drawdown Duration,419 days 00:00:00
Total Trades,15
Total Closed Trades,14
Total Open Trades,1
Open Trade PnL,-479.00285071877806
Win Rate [%],50.0
Best Trade [%],23.30576104284015
Worst Trade [%],-11.181519778735487
Avg Winning Trade [%],8.096299906056643
Avg Losing Trade [%],-7.333679399733395
Avg Winning Trade Duration,23 days 10:17:08.571428
Avg Losing Trade Duration,13 days 10:17:08.571428
Profit Factor,0.992357324320177
Expectancy,-2.457600864240135
Sharpe Ratio,0.08659719916007123
Calmar Ratio,-0.10072103766043412
Omega Ratio,1.0171441802759154
Sortino Ratio,0.12380806541825276
