,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,14899.903201870473
Total Return [%],48.99903201870473
Benchmark Return [%],24.513515465400193
Max Gross Exposure [%],100.0
Total Fees Paid,186.25790201911133
Max Drawdown [%],20.974888942260446
Max Drawdown Duration,229 days 00:00:00
Total Trades,8
Total Closed Trades,7
Total Open Trades,1
Open Trade PnL,-400.81869766224736
Win Rate [%],85.71428571428571
Best Trade [%],16.038049930461522
Worst Trade [%],-5.279772302900494
Avg Winning Trade [%],8.455074137172824
Avg Losing Trade [%],-5.279772302900494
Avg Winning Trade Duration,24 days 12:00:00
Avg Losing Trade Duration,48 days 00:00:00
Profit Factor,9.403591068188751
Expectancy,757.2459856475316
Sharpe Ratio,1.0276166343741164
Calmar Ratio,1.5962581861503893
Omega Ratio,1.2495029714233774
Sortino Ratio,1.5908318994701984
