,ALFAS.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,11309.462581893726
Total Return [%],13.094625818937256
Benchmark Return [%],-31.61394553116783
Max Gross Exposure [%],100.0
Total Fees Paid,82.22350557931333
Max Drawdown [%],42.98942531357549
Max Drawdown Duration,379 days 00:00:00
Total Trades,4
Total Closed Trades,4
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],50.0
Best Trade [%],29.961923177285094
Worst Trade [%],-14.877735265998732
Avg Winning Trade [%],22.63117503741873
Avg Losing Trade [%],-13.103724547109557
Avg Winning Trade Duration,44 days 00:00:00
Avg Losing Trade Duration,25 days 00:00:00
Profit Factor,1.463629306566595
Expectancy,327.365645473432
Sharpe Ratio,0.42765299960923264
Calmar Ratio,0.21726792902187395
Omega Ratio,1.1282867409439588
Sortino Ratio,0.6496402379930784
