,ALFAS.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,8977.298760079242
Total Return [%],-10.22701239920758
Benchmark Return [%],-31.61394553116783
Max Gross Exposure [%],100.0
Total Fees Paid,46.83210382021037
Max Drawdown [%],22.095439515997377
Max Drawdown Duration,243 days 00:00:00
Total Trades,3
Total Closed Trades,2
Total Open Trades,1
Open Trade PnL,124.48044476194991
Win Rate [%],0.0
Best Trade [%],-4.3222161108410155
Worst Trade [%],-7.48423416612074
Avg Winning Trade [%],
Avg Losing Trade [%],-5.903225138480877
Avg Winning Trade Duration,
Avg Losing Trade Duration,85 days 12:00:00
Profit Factor,0.0
Expectancy,-573.5908423413539
Sharpe Ratio,-0.23041611143398216
Calmar Ratio,-0.3407992636809007
Omega Ratio,0.9504800776968643
Sortino Ratio,-0.3427840021886876
