,ASELS.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,41976.34515872118
Total Return [%],319.7634515872118
Benchmark Return [%],480.2331263127937
Max Gross Exposure [%],100.0
Total Fees Paid,147.99563704784538
Max Drawdown [%],20.78718124782442
Max Drawdown Duration,64 days 00:00:00
Total Trades,4
Total Closed Trades,4
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],75.0
Best Trade [%],99.07176299925388
Worst Trade [%],-11.911194940430619
Avg Winning Trade [%],72.18925636190279
Avg Losing Trade [%],-11.911194940430619
Avg Winning Trade Duration,116 days 16:00:00
Avg Losing Trade Duration,14 days 00:00:00
Profit Factor,27.872468853005547
Expectancy,7994.086289680297
Sharpe Ratio,2.53450688052961
Calmar Ratio,8.812735984449915
Omega Ratio,1.5127950644059076
Sortino Ratio,4.28830120384456
