,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,13286.767619499491
Total Return [%],32.867676194994914
Benchmark Return [%],206.3164385329043
Max Gross Exposure [%],100.0
Total Fees Paid,122.35106745345617
Max Drawdown [%],22.126957825738298
Max Drawdown Duration,375 days 00:00:00
Total Trades,5
Total Closed Trades,5
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],20.0
Best Trade [%],63.78431342170976
Worst Trade [%],-9.375838811866952
Avg Winning Trade [%],63.78431342170976
Avg Losing Trade [%],-5.043246347972663
Avg Winning Trade Duration,71 days 00:00:00
Avg Losing Trade Duration,7 days 12:00:00
Profit Factor,2.1755199276550563
Expectancy,657.3535238998983
Sharpe Ratio,1.025854784478399
Calmar Ratio,1.0350246881220888
Omega Ratio,1.365286979162847
Sortino Ratio,1.696574066545568
