,ASTOR.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,30147.591257073876
Total Return [%],201.47591257073879
Benchmark Return [%],206.3164385329043
Max Gross Exposure [%],100.0
Total Fees Paid,283.1612416122406
Max Drawdown [%],32.342041049209975
Max Drawdown Duration,239 days 00:00:00
Total Trades,10
Total Closed Trades,9
Total Open Trades,1
Open Trade PnL,-90.50306895373433
Win Rate [%],33.33333333333333
Best Trade [%],199.1135958203557
Worst Trade [%],-18.728992496209923
Avg Winning Trade [%],88.59204086439779
Avg Losing Trade [%],-8.499047988105241
Avg Winning Trade Duration,85 days 08:00:00
Avg Losing Trade Duration,6 days 04:00:00
Profit Factor,4.033593744980956
Expectancy,2248.6771473364015
Sharpe Ratio,1.883322716183359
Calmar Ratio,3.7945781898447795
Omega Ratio,1.414954351919864
Sortino Ratio,3.0088725583471576
