,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,18440.894944111074
Total Return [%],84.40894944111076
Benchmark Return [%],206.3164385329043
Max Gross Exposure [%],100.0
Total Fees Paid,674.978074101596
Max Drawdown [%],43.99525939657702
Max Drawdown Duration,277 days 00:00:00
Total Trades,25
Total Closed Trades,25
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],44.0
Best Trade [%],45.09288974498558
Worst Trade [%],-13.32729122223228
Avg Winning Trade [%],16.754650363474706
Avg Losing Trade [%],-6.987997151909441
Avg Winning Trade Duration,16 days 00:00:00
Avg Losing Trade Duration,7 days 03:25:42.857142
Profit Factor,1.5983973006964858
Expectancy,337.63579776444305
Sharpe Ratio,1.233139660959793
Calmar Ratio,1.2707347066123067
Omega Ratio,1.2580603966107793
Sortino Ratio,1.927334310958829
