,ASTOR.IS
Start,2024-07-24 00:00:00
End,2026-07-24 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,18108.107126627212
Total Return [%],81.08107126627215
Benchmark Return [%],217.92165180425442
Max Gross Exposure [%],100.0
Total Fees Paid,410.44047214290225
Max Drawdown [%],34.28332464667935
Max Drawdown Duration,344 days 00:00:00
Total Trades,16
Total Closed Trades,16
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],62.5
Best Trade [%],51.304352515064764
Worst Trade [%],-11.57629088453078
Avg Winning Trade [%],12.783705458895108
Avg Losing Trade [%],-8.23803265288797
Avg Winning Trade Duration,12 days 14:24:00
Avg Losing Trade Duration,6 days 16:00:00
Profit Factor,2.159204624751488
Expectancy,506.756695414201
Sharpe Ratio,1.3554986891995207
Calmar Ratio,1.5633626562733363
Omega Ratio,1.3835026609983991
Sortino Ratio,2.243539315547074
