,BIMAS.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,6124.089880618296
Total Return [%],-38.75910119381704
Benchmark Return [%],34.12755681348509
Max Gross Exposure [%],100.0
Total Fees Paid,121.91469463738655
Max Drawdown [%],46.884670639208416
Max Drawdown Duration,468 days 00:00:00
Total Trades,9
Total Closed Trades,8
Total Open Trades,1
Open Trade PnL,-278.4892969086477
Win Rate [%],25.0
Best Trade [%],8.60177394361953
Worst Trade [%],-10.42403437228737
Avg Winning Trade [%],4.535951804515891
Avg Losing Trade [%],-8.491210067325525
Avg Winning Trade Duration,58 days 00:00:00
Avg Losing Trade Duration,33 days 16:00:00
Profit Factor,0.12929748740466468
Expectancy,-449.67760280913205
Sharpe Ratio,-0.938686856574842
Calmar Ratio,-0.6364899552067939
Omega Ratio,0.8499081200168632
Sortino Ratio,-1.2447333166345675
