,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,7530.494637598504
Total Return [%],-24.69505362401496
Benchmark Return [%],34.12755681348509
Max Gross Exposure [%],100.0
Total Fees Paid,260.3958355032044
Max Drawdown [%],37.44290760253091
Max Drawdown Duration,409 days 00:00:00
Total Trades,16
Total Closed Trades,15
Total Open Trades,1
Open Trade PnL,-37.36830617080068
Win Rate [%],40.0
Best Trade [%],16.860519494596286
Worst Trade [%],-14.261381084684762
Avg Winning Trade [%],5.609977564756102
Avg Losing Trade [%],-6.378078782854854
Avg Winning Trade Duration,25 days 16:00:00
Avg Losing Trade Duration,9 days 18:40:00
Profit Factor,0.5159601437204149
Expectancy,-162.14247041537968
Sharpe Ratio,-0.5809393443657517
Calmar Ratio,-0.49501840677929054
Omega Ratio,0.8931376616664635
Sortino Ratio,-0.8118705747527964
