,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,4953.272169368377
Total Return [%],-50.46727830631623
Benchmark Return [%],34.12755681348509
Max Gross Exposure [%],100.0
Total Fees Paid,281.4893445469516
Max Drawdown [%],54.01368580925505
Max Drawdown Duration,432 days 00:00:00
Total Trades,21
Total Closed Trades,20
Total Open Trades,1
Open Trade PnL,-176.6984491899293
Win Rate [%],20.0
Best Trade [%],13.351534709840346
Worst Trade [%],-22.930046880271636
Avg Winning Trade [%],5.708575226032693
Avg Losing Trade [%],-5.211595808865481
Avg Winning Trade Duration,15 days 06:00:00
Avg Losing Trade Duration,10 days 13:30:00
Profit Factor,0.21518438050952388
Expectancy,-243.50146907208475
Sharpe Ratio,-1.6580344642284732
Calmar Ratio,-0.7371580914385285
Omega Ratio,0.711205340851204
Sortino Ratio,-2.132651241178835
