,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,11536.42220784919
Total Return [%],15.364222078491894
Benchmark Return [%],34.12755681348509
Max Gross Exposure [%],100.0
Total Fees Paid,434.765968128651
Max Drawdown [%],14.941759774155363
Max Drawdown Duration,276 days 00:00:00
Total Trades,21
Total Closed Trades,21
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],57.14285714285714
Best Trade [%],8.785394371665543
Worst Trade [%],-5.952676495258355
Avg Winning Trade [%],3.8640316785460658
Avg Losing Trade [%],-3.345222932552806
Avg Winning Trade Duration,17 days 04:00:00
Avg Losing Trade Duration,7 days 10:40:00
Profit Factor,1.49495403949333
Expectancy,73.16296227853283
Sharpe Ratio,0.504211792794045
Calmar Ratio,0.7283328450395119
Omega Ratio,1.0971610202746558
Sortino Ratio,0.734935703641933
