,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,6114.5359901866095
Total Return [%],-38.8546400981339
Benchmark Return [%],34.12755681348509
Max Gross Exposure [%],100.0
Total Fees Paid,624.0686634968508
Max Drawdown [%],45.4894408005384
Max Drawdown Duration,468 days 00:00:00
Total Trades,41
Total Closed Trades,40
Total Open Trades,1
Open Trade PnL,133.4681951624816
Win Rate [%],17.5
Best Trade [%],25.146906060179454
Worst Trade [%],-5.275815948701452
Avg Winning Trade [%],5.205008672778021
Avg Losing Trade [%],-2.5311587624087597
Avg Winning Trade Duration,19 days 20:34:17.142857
Avg Losing Trade Duration,4 days 10:54:32.727272
Profit Factor,0.3725530336074528
Expectancy,-100.47330512439667
Sharpe Ratio,-1.0162815613403198
Calmar Ratio,-0.6577514777726279
Omega Ratio,0.8379218439512244
Sortino Ratio,-1.3733918179296034
