,0
Start,2024-07-31 00:00:00
End,2026-07-31 00:00:00
Period,507 days 00:00:00
Start Value,10000.0
End Value,11470.946762405534
Total Return [%],14.709467624055343
Benchmark Return [%],28.194053539351295
Max Gross Exposure [%],100.0
Total Fees Paid,235.82501792120016
Max Drawdown [%],27.81958905014149
Max Drawdown Duration,368 days 00:00:00
Total Trades,11
Total Closed Trades,11
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],72.72727272727273
Best Trade [%],8.910384294369408
Worst Trade [%],-9.310884543442912
Avg Winning Trade [%],3.263653520761351
Avg Losing Trade [%],-3.751613796177396
Avg Winning Trade Duration,16 days 18:00:00
Avg Losing Trade Duration,27 days 16:00:00
Profit Factor,2.178221485711307
Expectancy,133.7224329459579
Sharpe Ratio,0.47230002437689633
Calmar Ratio,0.3732680153422409
Omega Ratio,1.1147657893886012
Sortino Ratio,0.6970463676646639
