,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,506 days 00:00:00
Start Value,10000.0
End Value,12784.965236336022
Total Return [%],27.849652363360217
Benchmark Return [%],43.26699146345456
Max Gross Exposure [%],100.0
Total Fees Paid,225.11711036505164
Max Drawdown [%],11.933869728689588
Max Drawdown Duration,107 days 00:00:00
Total Trades,10
Total Closed Trades,10
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],100.0
Best Trade [%],6.761561473277669
Worst Trade [%],0.06707474368941493
Avg Winning Trade [%],2.5121584124891507
Avg Losing Trade [%],
Avg Winning Trade Duration,9 days 12:00:00
Avg Losing Trade Duration,
Profit Factor,inf
Expectancy,278.49652363360224
Sharpe Ratio,0.860321633990581
Calmar Ratio,1.6247669284493271
Omega Ratio,1.3365843296746025
Sortino Ratio,1.4230813608041941
