,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,506 days 00:00:00
Start Value,10000.0
End Value,16571.65883472879
Total Return [%],65.71658834728791
Benchmark Return [%],43.26699146345456
Max Gross Exposure [%],100.0
Total Fees Paid,405.5326140040382
Max Drawdown [%],26.149681261438186
Max Drawdown Duration,168 days 00:00:00
Total Trades,16
Total Closed Trades,16
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],81.25
Best Trade [%],15.266874832043545
Worst Trade [%],-9.450723836271187
Avg Winning Trade [%],4.991211715516785
Avg Losing Trade [%],-3.7198840218286087
Avg Winning Trade Duration,12 days 03:41:32.307692
Avg Losing Trade Duration,19 days 08:00:00
Profit Factor,5.929416138215513
Expectancy,410.7286771705494
Sharpe Ratio,1.3163554355433702
Calmar Ratio,1.6810464952989241
Omega Ratio,1.3423444493782308
Sortino Ratio,2.019711421760586
