,CCOLA.IS
Start,2024-07-24 00:00:00
End,2026-07-24 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,16101.594946767978
Total Return [%],61.01594946767979
Benchmark Return [%],-89.19813782724258
Max Gross Exposure [%],100.0
Total Fees Paid,70.40721321212655
Max Drawdown [%],19.542553434735545
Max Drawdown Duration,276 days 00:00:00
Total Trades,4
Total Closed Trades,3
Total Open Trades,1
Open Trade PnL,6254.076793133972
Win Rate [%],66.66666666666666
Best Trade [%],5.907051144271086
Worst Trade [%],-7.7430313724225845
Avg Winning Trade [%],3.345793347170263
Avg Losing Trade [%],-7.7430313724225845
Avg Winning Trade Duration,33 days 00:00:00
Avg Losing Trade Duration,3 days 00:00:00
Profit Factor,0.813859650728405
Expectancy,-50.82728212199777
Sharpe Ratio,1.2887182009948426
Calmar Ratio,2.1029713602825044
Omega Ratio,1.3121918294009294
Sortino Ratio,2.1237682789116175
