,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,8672.074353705279
Total Return [%],-13.279256462947215
Benchmark Return [%],-89.28663858915232
Max Gross Exposure [%],100.0
Total Fees Paid,293.3893119898187
Max Drawdown [%],42.43532144287013
Max Drawdown Duration,408 days 00:00:00
Total Trades,18
Total Closed Trades,17
Total Open Trades,1
Open Trade PnL,672.3194814660365
Win Rate [%],23.52941176470588
Best Trade [%],17.94716569746614
Worst Trade [%],-11.809657212072736
Avg Winning Trade [%],14.494535484050317
Avg Losing Trade [%],-5.649315703366527
Avg Winning Trade Duration,24 days 18:00:00
Avg Losing Trade Duration,8 days 20:18:27.692307
Profit Factor,0.6919521770914941
Expectancy,-117.66147810357398
Sharpe Ratio,-0.1678281221547822
Calmar Ratio,-0.23146502351508766
Omega Ratio,0.9662011157224651
Sortino Ratio,-0.2461701195443202
