,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,8740.869900143249
Total Return [%],-12.591300998567512
Benchmark Return [%],-89.28663858915232
Max Gross Exposure [%],100.0
Total Fees Paid,281.57887736676383
Max Drawdown [%],44.00146919508967
Max Drawdown Duration,408 days 00:00:00
Total Trades,17
Total Closed Trades,16
Total Open Trades,1
Open Trade PnL,964.065102630917
Win Rate [%],31.25
Best Trade [%],20.07150288502942
Worst Trade [%],-10.873378315193042
Avg Winning Trade [%],9.16238034009693
Avg Losing Trade [%],-5.925467048463232
Avg Winning Trade Duration,17 days 00:00:00
Avg Losing Trade Duration,10 days 19:38:10.909090
Profit Factor,0.6248663421633937
Expectancy,-138.94970015547926
Sharpe Ratio,-0.16770631543005904
Calmar Ratio,-0.2114416510197992
Omega Ratio,0.9658486483672277
Sortino Ratio,-0.24155742453929138
