,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,7121.855284092322
Total Return [%],-28.781447159076777
Benchmark Return [%],-89.28663858915232
Max Gross Exposure [%],100.0
Total Fees Paid,395.26417351399186
Max Drawdown [%],45.06754200319837
Max Drawdown Duration,408 days 00:00:00
Total Trades,26
Total Closed Trades,25
Total Open Trades,1
Open Trade PnL,334.5953491868595
Win Rate [%],28.000000000000004
Best Trade [%],24.075566769032434
Worst Trade [%],-11.022739467217612
Avg Winning Trade [%],9.673930151789662
Avg Losing Trade [%],-5.4534258070758606
Avg Winning Trade Duration,14 days 17:08:34.285714
Avg Losing Trade Duration,7 days 10:40:00
Profit Factor,0.5975517778707311
Expectancy,-128.5096026037815
Sharpe Ratio,-0.6375397195101022
Calmar Ratio,-0.48440535054041073
Omega Ratio,0.8842095936180036
Sortino Ratio,-0.9359913409209629
