,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,19440.167054000674
Total Return [%],94.40167054000675
Benchmark Return [%],68.1128668694371
Max Gross Exposure [%],100.0
Total Fees Paid,84.48594578581334
Max Drawdown [%],21.226633312035617
Max Drawdown Duration,82 days 00:00:00
Total Trades,3
Total Closed Trades,2
Total Open Trades,1
Open Trade PnL,-134.4882562957573
Win Rate [%],100.0
Best Trade [%],76.80948614980329
Worst Trade [%],10.769262143262074
Avg Winning Trade [%],43.78937414653269
Avg Losing Trade [%],
Avg Winning Trade Duration,120 days 12:00:00
Avg Losing Trade Duration,
Profit Factor,inf
Expectancy,4787.327655148216
Sharpe Ratio,1.3003414170001404
Calmar Ratio,2.9131894565297576
Omega Ratio,1.31528741473164
Sortino Ratio,2.2198284999264937
