,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,16156.05653659477
Total Return [%],61.560565365947696
Benchmark Return [%],68.1128668694371
Max Gross Exposure [%],100.0
Total Fees Paid,202.39691679689656
Max Drawdown [%],30.127012154691464
Max Drawdown Duration,252 days 00:00:00
Total Trades,10
Total Closed Trades,9
Total Open Trades,1
Open Trade PnL,370.6516140522017
Win Rate [%],66.66666666666666
Best Trade [%],21.985341117733963
Worst Trade [%],-19.44784369744572
Avg Winning Trade [%],12.83594277834084
Avg Losing Trade [%],-7.9223237525304135
Avg Winning Trade Duration,15 days 00:00:00
Avg Losing Trade Duration,36 days 00:00:00
Profit Factor,3.526493965921539
Expectancy,642.8227691713964
Sharpe Ratio,1.0454437124025646
Calmar Ratio,1.3788139449905914
Omega Ratio,1.2563545774346183
Sortino Ratio,1.922814274144776
