,0
Start,2024-08-05 00:00:00
End,2026-08-03 00:00:00
Period,502 days 00:00:00
Start Value,10000.0
End Value,7573.584796752668
Total Return [%],-24.264152032473323
Benchmark Return [%],76.04895479037772
Max Gross Exposure [%],100.0
Total Fees Paid,481.5411615078902
Max Drawdown [%],40.83931818303414
Max Drawdown Duration,238 days 00:00:00
Total Trades,25
Total Closed Trades,25
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],36.0
Best Trade [%],30.741661819019306
Worst Trade [%],-11.489485233859103
Avg Winning Trade [%],8.13175187779067
Avg Losing Trade [%],-5.695115258063503
Avg Winning Trade Duration,16 days 08:00:00
Avg Losing Trade Duration,7 days 01:30:00
Profit Factor,0.7341089388010122
Expectancy,-97.05660812989328
Sharpe Ratio,-0.3429668558712649
Calmar Ratio,-0.44800975075335314
Omega Ratio,0.9355638097158795
Sortino Ratio,-0.4759129108959694
