,ENJSA.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,14375.972237998409
Total Return [%],43.75972237998408
Benchmark Return [%],65.53043320783347
Max Gross Exposure [%],100.0
Total Fees Paid,97.33481685905724
Max Drawdown [%],24.535797697619664
Max Drawdown Duration,179 days 00:00:00
Total Trades,5
Total Closed Trades,4
Total Open Trades,1
Open Trade PnL,-618.2781847946317
Win Rate [%],50.0
Best Trade [%],41.316972700309165
Worst Trade [%],-17.044036575861508
Avg Winning Trade [%],35.454349419900836
Avg Losing Trade [%],-9.158423770163633
Avg Winning Trade Duration,102 days 00:00:00
Avg Losing Trade Duration,21 days 00:00:00
Profit Factor,3.761994420391395
Expectancy,1248.5626056982603
Sharpe Ratio,1.0427932967168247
Calmar Ratio,1.2281410114189042
Omega Ratio,1.2285349778382624
Sortino Ratio,1.5058907082796757
