,ENJSA.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,13879.149853166839
Total Return [%],38.79149853166838
Benchmark Return [%],65.53043320783347
Max Gross Exposure [%],100.0
Total Fees Paid,138.47377267783762
Max Drawdown [%],32.42665849437916
Max Drawdown Duration,253 days 00:00:00
Total Trades,8
Total Closed Trades,8
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],12.5
Best Trade [%],94.5938534284322
Worst Trade [%],-6.793123688579089
Avg Winning Trade [%],94.5938534284322
Avg Losing Trade [%],-4.706543212013557
Avg Winning Trade Duration,230 days 00:00:00
Avg Losing Trade Duration,10 days 03:25:42.857142
Profit Factor,2.3543729756756013
Expectancy,484.8937316458544
Sharpe Ratio,0.8787008266756278
Calmar Ratio,0.8281538290215704
Omega Ratio,1.1726750243513921
Sortino Ratio,1.2901427537969075
