,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,13496.640270492626
Total Return [%],34.96640270492626
Benchmark Return [%],82.88234711635147
Max Gross Exposure [%],100.0
Total Fees Paid,119.29320709774095
Max Drawdown [%],15.102386867858753
Max Drawdown Duration,82 days 00:00:00
Total Trades,5
Total Closed Trades,5
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],60.0
Best Trade [%],16.687322432797
Worst Trade [%],-3.316454912813739
Avg Winning Trade [%],12.339938029318304
Avg Losing Trade [%],-2.3338932884235257
Avg Winning Trade Duration,43 days 08:00:00
Avg Losing Trade Duration,53 days 00:00:00
Profit Factor,6.852276286443642
Expectancy,699.3280540985251
Sharpe Ratio,0.89969034593844
Calmar Ratio,1.6059690444571864
Omega Ratio,1.1942586226825778
Sortino Ratio,1.3953627075829604
