,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,10884.04695658899
Total Return [%],8.840469565889906
Benchmark Return [%],82.88234711635147
Max Gross Exposure [%],100.0
Total Fees Paid,168.2287935166475
Max Drawdown [%],16.702986027749326
Max Drawdown Duration,165 days 00:00:00
Total Trades,8
Total Closed Trades,8
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],62.5
Best Trade [%],13.056829137729789
Worst Trade [%],-10.616837436411023
Avg Winning Trade [%],5.439536962248019
Avg Losing Trade [%],-5.5945082670028174
Avg Winning Trade Duration,24 days 09:35:59.999999
Avg Losing Trade Duration,28 days 08:00:00
Profit Factor,1.4586585273282375
Expectancy,110.50586957362387
Sharpe Ratio,0.35973499795226954
Calmar Ratio,0.3787987327842352
Omega Ratio,1.0782769216728858
Sortino Ratio,0.5209124535477019
