,0
Start,2024-08-05 00:00:00
End,2026-08-03 00:00:00
Period,502 days 00:00:00
Start Value,10000.0
End Value,15102.406501608502
Total Return [%],51.02406501608502
Benchmark Return [%],105.62139264161057
Max Gross Exposure [%],100.0
Total Fees Paid,27.899569149083796
Max Drawdown [%],23.473968732221344
Max Drawdown Duration,93 days 00:00:00
Total Trades,2
Total Closed Trades,1
Total Open Trades,1
Open Trade PnL,0.0
Win Rate [%],0.0
Best Trade [%],-10.462746046175381
Worst Trade [%],-10.462746046175381
Avg Winning Trade [%],
Avg Losing Trade [%],-10.462746046175381
Avg Winning Trade Duration,
Avg Losing Trade Duration,62 days 00:00:00
Profit Factor,0.0
Expectancy,-1045.2293752422959
Sharpe Ratio,0.9398723434923029
Calmar Ratio,1.489016639452414
Omega Ratio,1.1589675391780558
Sortino Ratio,1.4809809171498447
