,0
Start,2024-08-05 00:00:00
End,2026-08-03 00:00:00
Period,502 days 00:00:00
Start Value,10000.0
End Value,10481.209775537971
Total Return [%],4.8120977553797095
Benchmark Return [%],105.62139264161057
Max Gross Exposure [%],100.0
Total Fees Paid,554.2965621571292
Max Drawdown [%],25.77899473087703
Max Drawdown Duration,191 days 00:00:00
Total Trades,29
Total Closed Trades,29
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],37.93103448275862
Best Trade [%],22.58925993605727
Worst Trade [%],-7.951108556694423
Avg Winning Trade [%],6.599995854930765
Avg Losing Trade [%],-3.445431191345785
Avg Winning Trade Duration,20 days 10:54:32.727272
Avg Losing Trade Duration,2 days 22:40:00
Profit Factor,1.0789153342880995
Expectancy,16.593440535792126
Sharpe Ratio,0.2753966834186897
Calmar Ratio,0.13485080660926135
Omega Ratio,1.052840281664321
Sortino Ratio,0.43055153310408056
