,0
Start,2024-07-24 00:00:00
End,2026-07-24 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,11502.802738171822
Total Return [%],15.02802738171822
Benchmark Return [%],111.73716359156556
Max Gross Exposure [%],100.0
Total Fees Paid,164.02853075557593
Max Drawdown [%],30.906469488367332
Max Drawdown Duration,303 days 00:00:00
Total Trades,8
Total Closed Trades,8
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],37.5
Best Trade [%],25.839742443907692
Worst Trade [%],-9.812617673437417
Avg Winning Trade [%],14.396077056164156
Avg Losing Trade [%],-4.8006891879750775
Avg Winning Trade Duration,70 days 08:00:00
Avg Losing Trade Duration,20 days 04:48:00
Profit Factor,1.6073931329663884
Expectancy,187.85034227147793
Sharpe Ratio,0.4589092139277177
Calmar Ratio,0.3445533453381851
Omega Ratio,1.0869548101768547
Sortino Ratio,0.6956246682476203
