,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,9396.316127587097
Total Return [%],-6.03683872412903
Benchmark Return [%],59.80704587504266
Max Gross Exposure [%],100.0
Total Fees Paid,78.49445657162318
Max Drawdown [%],14.498783354434158
Max Drawdown Duration,210 days 00:00:00
Total Trades,4
Total Closed Trades,4
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],25.0
Best Trade [%],3.5687939529420807
Worst Trade [%],-4.449577993277575
Avg Winning Trade [%],3.5687939529420807
Avg Losing Trade [%],-3.1891522884851136
Avg Winning Trade Duration,16 days 00:00:00
Avg Losing Trade Duration,6 days 16:00:00
Profit Factor,0.3638650075073628
Expectancy,-150.92096810322568
Sharpe Ratio,-0.2693498184403074
Calmar Ratio,-0.30470478084987856
Omega Ratio,0.8698201364437788
Sortino Ratio,-0.37129937448336653
