,EREGL.IS
Start,2024-07-24 00:00:00
End,2026-07-24 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,10668.08189186522
Total Return [%],6.680818918652204
Benchmark Return [%],53.627456675458696
Max Gross Exposure [%],100.0
Total Fees Paid,83.90568281314161
Max Drawdown [%],6.95278206431391
Max Drawdown Duration,179 days 00:00:00
Total Trades,4
Total Closed Trades,4
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],75.0
Best Trade [%],8.562818196296302
Worst Trade [%],-4.856379368550404
Avg Winning Trade [%],3.9439355529588638
Avg Losing Trade [%],-4.856379368550404
Avg Winning Trade Duration,10 days 16:00:00
Avg Losing Trade Duration,20 days 00:00:00
Profit Factor,2.2281930931574063
Expectancy,167.02047296630505
Sharpe Ratio,0.4712012276053107
Calmar Ratio,0.6882453250378099
Omega Ratio,1.264957276351649
Sortino Ratio,0.944752720175422
