,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,11914.910866134112
Total Return [%],19.149108661341124
Benchmark Return [%],195.2191281380359
Max Gross Exposure [%],100.0
Total Fees Paid,77.37142587601164
Max Drawdown [%],55.5474487636342
Max Drawdown Duration,376 days 00:00:00
Total Trades,6
Total Closed Trades,5
Total Open Trades,1
Open Trade PnL,6643.54836318047
Win Rate [%],20.0
Best Trade [%],1.179058339773621
Worst Trade [%],-19.975350403597865
Avg Winning Trade [%],1.179058339773621
Avg Losing Trade [%],-14.937254719676485
Avg Winning Trade Duration,45 days 00:00:00
Avg Losing Trade Duration,27 days 12:00:00
Profit Factor,0.012811575935975763
Expectancy,-945.7274994092717
Sharpe Ratio,0.5014363097512982
Calmar Ratio,0.24406670639375688
Omega Ratio,1.1109772401048195
Sortino Ratio,0.7940320494093808
