,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,21203.89476546566
Total Return [%],112.03894765465658
Benchmark Return [%],195.2191281380359
Max Gross Exposure [%],100.0
Total Fees Paid,629.3773923862493
Max Drawdown [%],22.717409013864287
Max Drawdown Duration,159 days 00:00:00
Total Trades,30
Total Closed Trades,29
Total Open Trades,1
Open Trade PnL,1518.4978216942
Win Rate [%],27.586206896551722
Best Trade [%],86.99437092575178
Worst Trade [%],-7.956629554655836
Avg Winning Trade [%],20.20046157072026
Avg Losing Trade [%],-2.924666267784772
Avg Winning Trade Duration,21 days 15:00:00
Avg Losing Trade Duration,3 days 19:25:42.857142
Profit Factor,2.4586292430713232
Expectancy,333.9792049576365
Sharpe Ratio,1.2961473569444835
Calmar Ratio,3.1926640524528604
Omega Ratio,1.2942608616790794
Sortino Ratio,2.287592206250162
