,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,8577.252030118747
Total Return [%],-14.227479698812532
Benchmark Return [%],-8.85580193392661
Max Gross Exposure [%],100.0
Total Fees Paid,115.69384506473814
Max Drawdown [%],28.849782376003812
Max Drawdown Duration,217 days 00:00:00
Total Trades,6
Total Closed Trades,5
Total Open Trades,1
Open Trade PnL,-548.7942857167254
Win Rate [%],60.0
Best Trade [%],8.344485835238135
Worst Trade [%],-14.082001558924523
Avg Winning Trade [%],3.887551964370898
Avg Losing Trade [%],-9.612788186266291
Avg Winning Trade Duration,41 days 08:00:00
Avg Losing Trade Duration,64 days 00:00:00
Profit Factor,0.5776552364469302
Expectancy,-174.79073683290568
Sharpe Ratio,-0.2520960080369116
Calmar Ratio,-0.36530168929118056
Omega Ratio,0.9529467301454535
Sortino Ratio,-0.3776192161312978
