,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,8811.69854646143
Total Return [%],-11.883014535385701
Benchmark Return [%],2.6097210393950077
Max Gross Exposure [%],100.0
Total Fees Paid,402.5084822041852
Max Drawdown [%],25.339107543622973
Max Drawdown Duration,363 days 00:00:00
Total Trades,24
Total Closed Trades,23
Total Open Trades,1
Open Trade PnL,-48.45235493584187
Win Rate [%],21.73913043478261
Best Trade [%],24.380575419793928
Worst Trade [%],-7.145633827769182
Avg Winning Trade [%],9.333655250041513
Avg Losing Trade [%],-3.0095526936197166
Avg Winning Trade Duration,25 days 00:00:00
Avg Losing Trade Duration,4 days 16:00:00
Profit Factor,0.7648821363035653
Expectancy,-49.55865646098829
Sharpe Ratio,-0.1954525807399421
Calmar Ratio,-0.3454904629462469
Omega Ratio,0.9610724921133484
Sortino Ratio,-0.2749181508534586
