,0
Start,2024-08-05 00:00:00
End,2026-08-03 00:00:00
Period,502 days 00:00:00
Start Value,10000.0
End Value,8544.767351222696
Total Return [%],-14.552326487773042
Benchmark Return [%],10.767390829166423
Max Gross Exposure [%],100.0
Total Fees Paid,98.92066472465007
Max Drawdown [%],32.1295833127601
Max Drawdown Duration,125 days 00:00:00
Total Trades,5
Total Closed Trades,5
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],20.0
Best Trade [%],8.10653163041545
Worst Trade [%],-10.690060759763167
Avg Winning Trade [%],8.10653163041545
Avg Losing Trade [%],-5.61944761831424
Avg Winning Trade Duration,83 days 00:00:00
Avg Losing Trade Duration,30 days 18:00:00
Profit Factor,0.3502191055718936
Expectancy,-291.0465297554613
Sharpe Ratio,-0.2507388543763559
Calmar Ratio,-0.3362988560744955
Omega Ratio,0.9448249041082741
Sortino Ratio,-0.35820003809095075
