,GWIND.IS
Start,2024-07-31 00:00:00
End,2026-07-31 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,8210.517415236915
Total Return [%],-17.894825847630855
Benchmark Return [%],-22.43269964568505
Max Gross Exposure [%],100.0
Total Fees Paid,230.56418267472822
Max Drawdown [%],38.70499413217287
Max Drawdown Duration,397 days 00:00:00
Total Trades,12
Total Closed Trades,12
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],25.0
Best Trade [%],18.8120880756625
Worst Trade [%],-10.633134614513548
Avg Winning Trade [%],7.624219941886869
Avg Losing Trade [%],-4.397178921211509
Avg Winning Trade Duration,31 days 00:00:00
Avg Losing Trade Duration,13 days 02:40:00
Profit Factor,0.5501757203361601
Expectancy,-149.123548730257
Sharpe Ratio,-0.3260427126516632
Calmar Ratio,-0.3431591413740022
Omega Ratio,0.9335037209251832
Sortino Ratio,-0.45253797501555404
