,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,7921.5641451446345
Total Return [%],-20.784358548553655
Benchmark Return [%],-16.3493435436305
Max Gross Exposure [%],100.0
Total Fees Paid,142.88810937170712
Max Drawdown [%],41.14083621729099
Max Drawdown Duration,393 days 00:00:00
Total Trades,8
Total Closed Trades,7
Total Open Trades,1
Open Trade PnL,168.39693692847322
Win Rate [%],42.857142857142854
Best Trade [%],8.238980128533301
Worst Trade [%],-13.493273926662738
Avg Winning Trade [%],6.067673589457451
Avg Losing Trade [%],-10.18397680490431
Avg Winning Trade Duration,43 days 08:00:00
Avg Losing Trade Duration,19 days 12:00:00
Profit Factor,0.4402329253557412
Expectancy,-320.9761131119771
Sharpe Ratio,-0.3769358993418819
Calmar Ratio,-0.3780980425884376
Omega Ratio,0.9213195283950029
Sortino Ratio,-0.5094050291602062
