,HEKTS.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,9318.345384765169
Total Return [%],-6.81654615234831
Benchmark Return [%],-76.4988009318107
Max Gross Exposure [%],100.0
Total Fees Paid,132.50953208940973
Max Drawdown [%],38.830479822179136
Max Drawdown Duration,355 days 00:00:00
Total Trades,8
Total Closed Trades,8
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],25.0
Best Trade [%],26.804811531809435
Worst Trade [%],-17.13715186714128
Avg Winning Trade [%],22.99407463513002
Avg Losing Trade [%],-7.627424471633386
Avg Winning Trade Duration,44 days 12:00:00
Avg Losing Trade Duration,10 days 20:00:00
Profit Factor,0.8303953677792916
Expectancy,-85.20682690435353
Sharpe Ratio,0.06693115650293328
Calmar Ratio,-0.12861150248768224
Omega Ratio,1.0170557635923607
Sortino Ratio,0.09765352197378442
