,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,8262.828557424198
Total Return [%],-17.371714425758018
Benchmark Return [%],-76.4988009318107
Max Gross Exposure [%],100.0
Total Fees Paid,201.47060122870204
Max Drawdown [%],43.72000868381761
Max Drawdown Duration,388 days 00:00:00
Total Trades,14
Total Closed Trades,13
Total Open Trades,1
Open Trade PnL,-193.94022569164008
Win Rate [%],23.076923076923077
Best Trade [%],41.278797633385096
Worst Trade [%],-15.7348972479248
Avg Winning Trade [%],26.696582098249827
Avg Losing Trade [%],-8.071724087262517
Avg Winning Trade Duration,35 days 08:00:00
Avg Losing Trade Duration,9 days 14:24:00
Profit Factor,0.760859679895221
Expectancy,-118.71009360647406
Sharpe Ratio,-0.15079774414403443
Calmar Ratio,-0.2957627993825021
Omega Ratio,0.9668759269455244
Sortino Ratio,-0.2308116661022707
