,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,7972.116695925383
Total Return [%],-20.278833040746168
Benchmark Return [%],-74.06417097527135
Max Gross Exposure [%],100.0
Total Fees Paid,75.66981684889119
Max Drawdown [%],43.63256893442162
Max Drawdown Duration,244 days 00:00:00
Total Trades,4
Total Closed Trades,4
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],25.0
Best Trade [%],14.967335634844439
Worst Trade [%],-16.201066839346684
Avg Winning Trade [%],14.967335634844439
Avg Losing Trade [%],-11.420232338626274
Avg Winning Trade Duration,49 days 00:00:00
Avg Losing Trade Duration,32 days 16:00:00
Profit Factor,0.40594011162307586
Expectancy,-506.9708260186542
Sharpe Ratio,-0.21572534478377012
Calmar Ratio,-0.34691693099128035
Omega Ratio,0.9466914815867721
Sortino Ratio,-0.3086393524892836
