,HEKTS.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,8203.623777871679
Total Return [%],-17.963762221283215
Benchmark Return [%],-76.4988009318107
Max Gross Exposure [%],100.0
Total Fees Paid,63.55112006848421
Max Drawdown [%],31.246427701573992
Max Drawdown Duration,340 days 00:00:00
Total Trades,4
Total Closed Trades,3
Total Open Trades,1
Open Trade PnL,-276.5122698843443
Win Rate [%],66.66666666666666
Best Trade [%],3.894803582630867
Worst Trade [%],-19.504029702890392
Avg Winning Trade [%],2.637358154457058
Avg Losing Trade [%],-19.504029702890392
Avg Winning Trade Duration,66 days 00:00:00
Avg Losing Trade Duration,100 days 00:00:00
Profit Factor,0.2305712056742959
Expectancy,-506.6213174146592
Sharpe Ratio,-0.28314528327780614
Calmar Ratio,-0.42833395614560915
Omega Ratio,0.9445230314267189
Sortino Ratio,-0.4129108437958848
