,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,0,863.9575288792665,2024-08-13,11.563079961776733,9.99000999000964,2024-09-09,4.134029865264893,3.571626226707344,-6431.9453995193635,-0.6438377344918883,Long,Closed,0
1,1,0,882.7714158849295,2024-09-10,4.037840426445007,3.564490110369661,2024-10-14,3.6700000762939453,3.2397711636478057,-331.5232079964786,-0.09300718973296328,Long,Closed,1
2,2,0,869.7693726144321,2024-10-15,3.7174200382232665,3.2332980943892835,2024-11-04,3.390000104904175,2.948518264405363,-290.9616463432004,-0.08998911880350909,Long,Closed,2
3,3,0,874.0338403238507,2024-11-05,3.3667198948860166,2.942627119021836,2024-11-25,3.9820200095176697,3.480420241165145,531.3700747830221,0.18057676127162103,Long,Closed,3
4,4,0,931.8637799281149,2024-12-23,3.72744002866745,3.4734663545691546,2025-02-19,3.430000066757202,3.196292827362053,-283.8432863892891,-0.08171758624231033,Long,Closed,4
5,5,0,941.8755742662902,2025-02-27,3.3867601146697996,3.1899066279065664,2025-03-13,3.682620057106018,3.4685698810912893,272.00477667550695,0.08527045095799446,Long,Closed,5
6,6,0,1082.987507569713,2025-03-26,3.1963800573349,3.4616396715382507,2025-06-18,2.930000066757202,3.173153469476475,-295.1209952031992,-0.0852546836776981,Long,Closed,6
7,7,0,782.3001354732518,2025-09-05,4.048079961776733,3.166813502504283,2025-09-11,3.700000047683716,2.894510538554009,-278.364287991544,-0.08790043612337697,Long,Closed,7
8,8,0,781.2903342149135,2025-09-12,3.6973800573349,2.888727300714436,2025-10-06,3.4000000953674316,2.6563872108403586,-237.88520438593645,-0.08234948460766026,Long,Closed,8
9,9,0,778.1729686288747,2025-10-07,3.4068000955581663,2.651079743885475,2025-11-13,3.140000104904175,2.44346320312826,-212.71108370438634,-0.08023564141930341,Long,Closed,9
10,10,0,741.9859001622392,2025-11-21,3.28655997133255,2.438581158766283,2025-12-29,3.049999952316284,2.263056960114185,-180.225836771061,-0.07390602364131857,Long,Closed,10
11,11,0,779.9402184570864,2026-01-14,2.895780105113983,2.258535367785953,2026-01-28,3.2834199619293214,2.5608712823935136,297.51650795704944,0.13172984235737775,Long,Closed,11
12,12,0,879.535608922794,2026-03-03,2.9058000955581664,2.55575465645461,2026-04-15,3.333319914340973,2.9317735605943636,370.53137592264943,0.14497924320977248,Long,Closed,12
13,13,0,901.2579355333627,2026-07-01,3.2464800095558166,2.9259158711624877,2026-07-08,3.0,2.703773806600088,-227.77175424028152,-0.07784631010247635,Long,Closed,13
14,14,0,897.6618965842832,2026-07-09,3.0060000000000002,2.6983716611321142,2026-07-24,2.990000009536743,0.0,-17.060953445709856,-0.006322684784849218,Long,Open,14
