,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,13662.732965883208
Total Return [%],36.627329658832075
Benchmark Return [%],-6.062578301282306
Max Gross Exposure [%],100.0
Total Fees Paid,445.7087574937358
Max Drawdown [%],23.119137534451657
Max Drawdown Duration,143 days 00:00:00
Total Trades,21
Total Closed Trades,21
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],52.38095238095239
Best Trade [%],19.52217590485701
Worst Trade [%],-9.808826827739543
Avg Winning Trade [%],8.11814388467296
Avg Losing Trade [%],-5.061786152082758
Avg Winning Trade Duration,16 days 02:10:54.545454
Avg Losing Trade Duration,6 days 09:36:00
Profit Factor,1.6516414138619935
Expectancy,174.41585551824818
Sharpe Ratio,0.8702163124185848
Calmar Ratio,1.0969041681607121
Omega Ratio,1.2015237953374125
Sortino Ratio,1.3685963201282323
