,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,7866.565553872298
Total Return [%],-21.334344461277023
Benchmark Return [%],-6.062578301282306
Max Gross Exposure [%],100.0
Total Fees Paid,88.29963190316006
Max Drawdown [%],38.33170875373087
Max Drawdown Duration,346 days 00:00:00
Total Trades,5
Total Closed Trades,4
Total Open Trades,1
Open Trade PnL,-957.4577995412064
Win Rate [%],25.0
Best Trade [%],9.675343621339803
Worst Trade [%],-10.053371176587705
Avg Winning Trade [%],9.675343621339803
Avg Losing Trade [%],-6.961261896889252
Avg Winning Trade Duration,58 days 00:00:00
Avg Losing Trade Duration,12 days 16:00:00
Profit Factor,0.4511308031126917
Expectancy,-293.99416164662375
Sharpe Ratio,-0.3797892065159673
Calmar Ratio,-0.4161589274589848
Omega Ratio,0.9239435818264559
Sortino Ratio,-0.5206516878378941
