,0
Start,2024-08-05 00:00:00
End,2026-08-03 00:00:00
Period,502 days 00:00:00
Start Value,10000.0
End Value,11169.673159615257
Total Return [%],11.696731596152567
Benchmark Return [%],6.033391263793719
Max Gross Exposure [%],100.0
Total Fees Paid,126.98665580087615
Max Drawdown [%],23.88415233724359
Max Drawdown Duration,243 days 00:00:00
Total Trades,6
Total Closed Trades,6
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],83.33333333333334
Best Trade [%],13.405059662518898
Worst Trade [%],-11.205257418166097
Avg Winning Trade [%],4.806681339897503
Avg Losing Trade [%],-11.205257418166097
Avg Winning Trade Duration,32 days 00:00:00
Avg Losing Trade Duration,55 days 00:00:00
Profit Factor,1.9790301237607055
Expectancy,194.94552660254257
Sharpe Ratio,0.4353452425226791
Calmar Ratio,0.35065833699273363
Omega Ratio,1.0965094434473612
Sortino Ratio,0.675182131033243
