,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,5727.285986608838
Total Return [%],-42.72714013391162
Benchmark Return [%],41.0153656232463
Max Gross Exposure [%],100.0
Total Fees Paid,328.7190727182028
Max Drawdown [%],49.121323059105215
Max Drawdown Duration,405 days 00:00:00
Total Trades,21
Total Closed Trades,20
Total Open Trades,1
Open Trade PnL,-368.2294273654861
Win Rate [%],35.0
Best Trade [%],24.2078445361195
Worst Trade [%],-15.087198969226145
Avg Winning Trade [%],7.255200263679952
Avg Losing Trade [%],-7.0769628377531895
Avg Winning Trade Duration,13 days 00:00:00
Avg Losing Trade Duration,10 days 00:00:00
Profit Factor,0.48952008679102216
Expectancy,-195.22422930128366
Sharpe Ratio,-0.9427910910838685
Calmar Ratio,-0.6771918339548879
Omega Ratio,0.8218576957949617
Sortino Ratio,-1.2501116391542404
