,0
Start,2024-08-05 00:00:00
End,2026-08-03 00:00:00
Period,502 days 00:00:00
Start Value,10000.0
End Value,14825.866654350782
Total Return [%],48.25866654350782
Benchmark Return [%],52.309988210538826
Max Gross Exposure [%],100.0
Total Fees Paid,312.8399913194037
Max Drawdown [%],29.73608108492109
Max Drawdown Duration,262 days 00:00:00
Total Trades,14
Total Closed Trades,14
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],78.57142857142857
Best Trade [%],19.394116617528237
Worst Trade [%],-16.21777559791817
Avg Winning Trade [%],6.2891940287458645
Avg Losing Trade [%],-8.254159282961588
Avg Winning Trade Duration,14 days 17:27:16.363636
Avg Losing Trade Duration,22 days 00:00:00
Profit Factor,2.715776818919752
Expectancy,344.70476102505575
Sharpe Ratio,1.0038161001138866
Calmar Ratio,1.1148702423498265
Omega Ratio,1.2223908631822529
Sortino Ratio,1.588873868076102
