,0
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,17522.34778004657
Total Return [%],75.22347780046572
Benchmark Return [%],-28.3842794759826
Max Gross Exposure [%],100.0
Total Fees Paid,248.17641356644958
Max Drawdown [%],17.14178028250552
Max Drawdown Duration,183 days 00:00:00
Total Trades,9
Total Closed Trades,8
Total Open Trades,1
Open Trade PnL,-266.93074496353074
Win Rate [%],75.0
Best Trade [%],20.801676912250905
Worst Trade [%],-10.861448162661791
Avg Winning Trade [%],12.387077934780917
Avg Losing Trade [%],-5.4882277435916915
Avg Winning Trade Duration,26 days 20:00:00
Avg Losing Trade Duration,51 days 00:00:00
Profit Factor,5.259278935635375
Expectancy,973.659815626263
Sharpe Ratio,1.6195437703830966
Calmar Ratio,2.930371086050651
Omega Ratio,1.3654220062932179
Sortino Ratio,2.9663577659976004
