,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,PGSUS.IS,47.07303921932888,2024-08-23,212.22360305786134,9.99000999000964,2024-09-02,236.526,11.133997674390983,1122.863676716592,0.11239865403933084,Long,Closed,0
1,1,PGSUS.IS,49.265093196548506,2024-10-02,225.55020611572263,11.111751924790951,2024-11-11,243.512,11.996641374477921,861.7810563868505,0.07755582217994825,Long,Closed,1
2,2,PGSUS.IS,54.38677595809573,2024-11-20,220.13939694213866,11.972672061041521,2025-01-17,222.554,12.103994536578039,107.2458089380191,0.008957550026529478,Long,Closed,2
3,3,PGSUS.IS,48.94721552281695,2025-04-02,246.79260305786136,12.079810731309408,2025-06-04,257.484,12.603124841676998,498.63117479385943,0.041278061874052134,Long,Closed,3
4,4,PGSUS.IS,55.66668779099123,2025-06-18,225.951,12.577943773061634,2025-08-11,273.452,15.222167109822134,2616.4232258769907,0.2080167691225089,Long,Closed,4
5,5,PGSUS.IS,60.889278429176954,2025-08-29,249.498,15.191753189521478,2025-12-17,208.6818060913086,12.706484594197205,-2513.1668331093047,-0.16542967765185562,Long,Closed,5
6,6,PGSUS.IS,64.76860714955583,2025-12-29,195.79079388427735,12.681097012589817,2026-02-03,208.9811939086914,13.535420849917184,828.107319464258,0.0653024985647592,Long,Closed,6
7,7,PGSUS.IS,72.83313765008062,2026-03-02,185.47020611572265,13.508377052014112,2026-04-08,185.628,13.519869675709165,-15.535623033811467,-0.0011500732452159217,Long,Closed,7
8,8,PGSUS.IS,76.07867287506554,2026-05-13,177.354,13.492856949082125,2026-06-15,180.8375969543457,13.757884382202615,237.77669178695615,0.01762241256126944,Long,Closed,8
9,9,PGSUS.IS,82.54813326190208,2026-07-08,166.332,13.730396101716906,2026-07-27,164.0,0.0,-206.23264286847188,-0.015020152466151855,Long,Open,9
