,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,6503.710846740699
Total Return [%],-34.96289153259301
Benchmark Return [%],-29.174314726383233
Max Gross Exposure [%],100.0
Total Fees Paid,111.67735419644876
Max Drawdown [%],35.89188350925234
Max Drawdown Duration,448 days 00:00:00
Total Trades,7
Total Closed Trades,7
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],0.0
Best Trade [%],-2.080945358538159
Worst Trade [%],-11.150465570345908
Avg Winning Trade [%],
Avg Losing Trade [%],-5.907231465657324
Avg Winning Trade Duration,
Avg Losing Trade Duration,18 days 00:00:00
Profit Factor,0.0
Expectancy,-499.46987903704263
Sharpe Ratio,-1.2314394328677587
Calmar Ratio,-0.7458457301532141
Omega Ratio,0.6991123312122515
Sortino Ratio,-1.537759680782067
