,0
Start,2024-07-31 00:00:00
End,2026-07-31 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,6668.932613144365
Total Return [%],-33.31067386855635
Benchmark Return [%],-12.715231702341512
Max Gross Exposure [%],100.0
Total Fees Paid,148.34226306812624
Max Drawdown [%],41.067698772313165
Max Drawdown Duration,394 days 00:00:00
Total Trades,9
Total Closed Trades,9
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],33.33333333333333
Best Trade [%],17.09300680619517
Worst Trade [%],-25.54391732920201
Avg Winning Trade [%],13.423642918386145
Avg Losing Trade [%],-11.985801535134629
Avg Winning Trade Duration,59 days 16:00:00
Avg Losing Trade Duration,13 days 00:00:00
Profit Factor,0.4673703437801225
Expectancy,-370.1185985395149
Sharpe Ratio,-0.7391079668492323
Calmar Ratio,-0.6180978824414974
Omega Ratio,0.86251081508621
Sortino Ratio,-0.9994135746224602
