,0
Start,2024-07-24 00:00:00
End,2026-07-24 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,8879.69278578878
Total Return [%],-11.203072142112196
Benchmark Return [%],-14.309013901889866
Max Gross Exposure [%],100.0
Total Fees Paid,302.9417966246425
Max Drawdown [%],47.284248656698
Max Drawdown Duration,408 days 00:00:00
Total Trades,18
Total Closed Trades,18
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],38.88888888888889
Best Trade [%],21.64007371547447
Worst Trade [%],-9.33708878999888
Avg Winning Trade [%],7.30243488389579
Avg Losing Trade [%],-5.250869947980725
Avg Winning Trade Duration,19 days 13:42:51.428571
Avg Losing Trade Duration,7 days 00:00:00
Profit Factor,0.7812509830515678
Expectancy,-62.23928967840121
Sharpe Ratio,-0.18329154254323884
Calmar Ratio,-0.1740415317359727
Omega Ratio,0.9629408028221592
Sortino Ratio,-0.2868086334213332
