,SAHOL.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,9946.868740753309
Total Return [%],-0.5313125924669111
Benchmark Return [%],-10.63580401428662
Max Gross Exposure [%],100.0
Total Fees Paid,159.56826001186735
Max Drawdown [%],23.13271731144213
Max Drawdown Duration,338 days 00:00:00
Total Trades,8
Total Closed Trades,7
Total Open Trades,1
Open Trade PnL,-262.4054243451192
Win Rate [%],42.857142857142854
Best Trade [%],10.525877323424035
Worst Trade [%],-7.929891270595109
Avg Winning Trade [%],7.524398469523912
Avg Losing Trade [%],-4.741502614064891
Avg Winning Trade Duration,19 days 08:00:00
Avg Losing Trade Duration,38 days 06:00:00
Profit Factor,1.0988904730402436
Expectancy,29.896309299775623
Sharpe Ratio,0.13934234801550724
Calmar Ratio,-0.016678825656926924
Omega Ratio,1.029603970072113
Sortino Ratio,0.19776992290105783
