,SAHOL.IS
Start,2024-07-24 00:00:00
End,2026-07-24 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,9970.616522564631
Total Return [%],-0.2938347743536906
Benchmark Return [%],-14.309013901889866
Max Gross Exposure [%],100.0
Total Fees Paid,251.94375016121782
Max Drawdown [%],23.443020091612016
Max Drawdown Duration,317 days 00:00:00
Total Trades,14
Total Closed Trades,13
Total Open Trades,1
Open Trade PnL,-362.90085941676443
Win Rate [%],69.23076923076923
Best Trade [%],8.900402124242692
Worst Trade [%],-15.992393805467565
Avg Winning Trade [%],4.310019527988863
Avg Losing Trade [%],-8.102639427740211
Avg Winning Trade Duration,6 days 08:00:00
Avg Losing Trade Duration,5 days 00:00:00
Profit Factor,1.1048432060166182
Expectancy,25.655183229338007
Sharpe Ratio,0.09922776322943308
Calmar Ratio,-0.009062920913554923
Omega Ratio,1.0339052453108937
Sortino Ratio,0.14058168900452464
