,0
Start,2024-08-05 00:00:00
End,2026-08-03 00:00:00
Period,502 days 00:00:00
Start Value,10000.0
End Value,10245.252167628681
Total Return [%],2.452521676286815
Benchmark Return [%],-5.123179407191691
Max Gross Exposure [%],100.0
Total Fees Paid,277.70871749646847
Max Drawdown [%],25.085287310179428
Max Drawdown Duration,272 days 00:00:00
Total Trades,13
Total Closed Trades,13
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],61.53846153846154
Best Trade [%],7.888588505782314
Worst Trade [%],-13.670424051907634
Avg Winning Trade [%],4.84227864534067
Avg Losing Trade [%],-6.718669452332494
Avg Winning Trade Duration,8 days 18:00:00
Avg Losing Trade Duration,40 days 00:00:00
Profit Factor,1.064674611966054
Expectancy,18.865551356052492
Sharpe Ratio,0.21598703082995369
Calmar Ratio,0.07085035902774052
Omega Ratio,1.0422350251264276
Sortino Ratio,0.32836609076375917
