,SISE.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,8263.697038783
Total Return [%],-17.363029612169996
Benchmark Return [%],-4.981030251312157
Max Gross Exposure [%],100.0
Total Fees Paid,88.79285025707973
Max Drawdown [%],27.03600040412345
Max Drawdown Duration,279 days 00:00:00
Total Trades,5
Total Closed Trades,5
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],40.0
Best Trade [%],13.416950240010936
Worst Trade [%],-12.413034483400832
Avg Winning Trade [%],7.154501599027857
Avg Losing Trade [%],-10.262879167144984
Avg Winning Trade Duration,66 days 12:00:00
Avg Losing Trade Duration,24 days 16:00:00
Profit Factor,0.40634309912236216
Expectancy,-347.26059224339986
Sharpe Ratio,-0.31206818437003936
Calmar Ratio,-0.4780334089419315
Omega Ratio,0.9311014653172688
Sortino Ratio,-0.43967237317548025
