,0
Start,2024-08-05 00:00:00
End,2026-08-03 00:00:00
Period,502 days 00:00:00
Start Value,10000.0
End Value,10573.528414142578
Total Return [%],5.735284141425781
Benchmark Return [%],-1.6317176064618577
Max Gross Exposure [%],100.0
Total Fees Paid,79.72941109136404
Max Drawdown [%],19.21375940504959
Max Drawdown Duration,216 days 00:00:00
Total Trades,4
Total Closed Trades,4
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],50.0
Best Trade [%],10.36318896518381
Worst Trade [%],-8.505498315497855
Avg Winning Trade [%],10.155595514235744
Avg Losing Trade [%],-6.631436823261969
Avg Winning Trade Duration,21 days 12:00:00
Avg Losing Trade Duration,41 days 00:00:00
Profit Factor,1.4201643163517133
Expectancy,143.38210353564466
Sharpe Ratio,0.29200095683384786
Calmar Ratio,0.21537748471289905
Omega Ratio,1.0935961325780592
Sortino Ratio,0.47718707841340496
